year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
2015,10,18,0,2,7,0,0,17.19,36,15.81,0.00,0.00
2015,10,18,0,2,13,0,0,17.17,36,15.81,0.00,0.00
2015,10,18,0,2,19,0,0,17.15,36,15.81,0.00,0.00
2015,10,18,0,2,25,0,0,17.14,36,15.81,0.00,0.00
2015,10,18,0,2,31,0,0,17.13,35,15.81,0.00,0.00
2015,10,18,0,2,37,0,0,17.09,35,15.81,0.00,0.00
2015,10,18,0,2,43,0,0,17.01,36,15.81,0.00,0.00
2015,10,18,0,2,49,0,0,16.99,36,15.81,0.00,0.00
2015,10,18,0,2,55,0,0,16.98,36,15.88,0.00,0.00
2015,10,18,0,3,1,0,0,16.99,36,15.88,0.00,0.00
2015,10,18,0,3,7,0,0,17.00,36,15.81,0.00,0.00
2015,10,18,0,3,13,0,0,17.00,36,15.81,0.00,0.00
2015,10,18,0,3,19,0,0,17.00,36,15.88,0.00,0.00
2015,10,18,0,3,25,0,0,17.01,36,15.88,0.00,0.00
2015,10,18,0,3,31,0,0,17.02,36,15.94,0.00,0.00
2015,10,18,0,3,37,0,0,17.03,36,15.94,0.00,0.00
2015,10,18,0,3,43,0,0,17.04,37,15.94,0.00,0.00
2015,10,18,0,3,49,0,0,17.05,37,15.88,0.00,0.00
2015,10,18,0,3,55,0,0,17.04,37,15.88,0.00,0.00
2015,10,18,0,4,1,0,0,17.05,37,15.88,0.00,0.00
2015,10,18,0,4,7,0,0,17.05,37,15.88,0.00,0.00
2015,10,18,0,4,13,0,0,17.05,37,15.88,0.00,0.00
2015,10,18,0,4,19,0,0,17.05,37,15.88,0.00,0.00
2015,10,18,0,4,25,0,0,17.06,37,15.88,0.00,0.00
2015,10,18,0,4,31,0,0,17.05,37,15.88,0.00,0.00
2015,10,18,0,4,37,0,0,17.06,37,15.88,0.00,0.00
2015,10,18,0,4,43,0,0,17.06,37,15.88,0.00,0.00
2015,10,18,0,4,49,0,0,17.07,37,15.88,0.00,0.00
2015,10,18,0,4,55,0,0,17.08,37,15.88,0.00,0.00
2015,10,18,0,5,1,0,0,17.09,37,15.88,0.00,0.00
2015,10,18,0,5,7,0,0,17.09,37,15.88,0.00,0.00
2015,10,18,0,5,13,0,0,17.10,37,15.88,0.00,0.00
2015,10,18,0,5,19,0,0,17.11,37,15.88,0.00,0.00
2015,10,18,0,5,25,0,0,17.10,37,15.94,0.00,0.00
2015,10,18,0,5,31,0,0,17.07,37,15.88,0.00,0.00
2015,10,18,0,5,37,0,0,17.07,37,15.88,0.00,0.00
2015,10,18,0,5,43,0,0,17.08,37,15.88,0.00,0.00
2015,10,18,0,5,49,0,0,17.07,37,15.88,0.00,0.00
2015,10,18,0,5,55,0,0,17.08,37,15.88,0.00,0.00
2015,10,18,0,6,1,0,0,17.09,37,15.88,0.00,0.00
2015,10,18,0,6,7,0,0,17.09,37,15.88,0.00,0.00
2015,10,18,0,6,13,0,0,17.06,37,15.88,0.00,0.00
2015,10,18,0,6,19,0,0,16.99,37,15.88,0.00,0.00
2015,10,18,0,6,25,0,0,17.02,37,15.94,0.00,0.00
2015,10,18,0,6,31,0,0,17.01,37,15.94,0.00,0.00
2015,10,18,0,6,37,0,0,17.02,37,15.94,0.00,0.00
2015,10,18,0,6,43,0,0,17.01,37,15.94,0.00,0.00
2015,10,18,0,6,49,0,0,17.03,37,15.94,0.00,0.00
2015,10,18,0,6,55,0,0,17.01,37,15.94,0.00,0.00
2015,10,18,0,7,1,0,0,17.02,37,15.81,0.00,0.00
